var_name,var_label
pillarbeh_11,Pillarbeh_11. I make an effort not to start or add to racially-sensitive situations or conversations
pillarbeh_12,Pillarbeh_12. I make an effort to ease racially-sensitive situations when they happen
pillarbeh_13,Pillarbeh_13. I make an active effort to include people from different cultures or nationalities in my daily life
pillarbeh_14,"Pillarbeh_14. I proactively make efforts to understand the practices of different cultures (e.g. learning more, attending festivities, etc.)"
pillarbeh_15,Pillarbeh_15. I have good friends from different cultures or nationalities
pillarvals_1,Pillarvals_1. It is important for me to act in a way that is consistent with the values of society
pillarvals_2,Pillarvals_2. I am strongly guided by the desire to do the right thing
pillarvals_3,Pillarvals_3. It is important to me that my actions are consistent with the actions of those around me
pillarvals_4,"Pillarvals_4. I am willing to act in a way that benefits others even if it costs me (e.g. in time, money, effort)"
pillarvals_5,Pillarvals_5. I believe it is my responsibility or duty to contribute to society
pillarvals_6,Pillarvals_6. Offering help to others (including donating and volunteering) are things I do to increase my well-being
pillarvals_7,Pillarvals_7. I offer to help others even if it risks offending someone
pillarvals_8,"Pillarvals_8. I know how to help people in need (e.g. who needs help, what help is needed, and how to help, etc.)"
pillarvals_9,Pillarvals_9. I want to have a say in the decisions and policies that affect my life
pillarvals_12,"Pillarvals_12. In Singapore, citizens are often encouraged to play an active role in society and have the means to do so"
pillarvals_13,Pillarvals_13. I feel I can create positive change in my life and in my community
pillarvals_14,Pillarvals_14. I feel that I belong and am accepted in Singapore
pillarvals_21,Pillarvals_21. I believe that I have things in common with people of different cultures and nationalities
pillarvals_22,Pillarvals_22. I feel that being able to interact well with people of different cultures and nationalities is beneficial to me
pillarvals_23,Pillarvals_23. There are enough opportunities for meaningful interactions with people of different cultures
pillarvals_24,Pillarvals_24. There are enough opportunities for meaningful interactions with people of different nationalities
pillarvals_25,"Pillarvals_25. People around me generally respect differences in culture, lifestyle and beliefs"
pillarvals_26,Pillarvals_26. It is wrong to make racially or culturally insensitive remarks
pillarvals_29,Pillarvals_29. I am confident that Singapore has a bright future ahead
pillarvals_30,Pillarvals_30. I am willing to support Singapore in both good and bad times
pillarvals_31,Pillarvals_31. There are enough opportunities in Singapore for me to achieve my personal aspirations in life
pillarvals_32,Pillarvals_32. There are enough opportunities in Singapore for me to live by my values
pillarvals_33,Pillarvals_33. I am committed to staying in Singapore in the long-run
